,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
144,"Jocelyn Flores",XXXTENTACION,8233,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
145,"Roses - Imanbek Remix","SAINt JHN",8232,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
146,"Dah Wa2toh","Mohamed Hamaki",8139,https://open.spotify.com/track/3jkUBbALdkapP4OUWF4pyZ
147,"اهلاً اصحابي الواطين","Ahmed Moza",8134,https://open.spotify.com/track/5USHTcCSSR0IowR46lIVnL
148,"Hayaty Msh Tamam","Ramy Sabry",8128,https://open.spotify.com/track/5P1lXXSESjRau7dg9l6egg
149,Khalsana,"Abo El Anwar",8116,https://open.spotify.com/track/1HUeRCTNBzBDUGZv8NqVkA
150,"Without Me",Halsey,8109,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
151,"Talking to the Moon","Bruno Mars",8100,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
152,"Asyad El Shoot",Abyusif,8095,https://open.spotify.com/track/7ApfWiGiOw4H47pjwx2e35
153,"Lucid Dreams","Juice WRLD",8053,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
154,"هنا القاهرة",RoxyHits,7974,https://open.spotify.com/track/6VbsFyGgGufJoZC8mrmJO1
155,"Sham3 3id El Milad",Abyusif,7974,https://open.spotify.com/track/0kcmuRtga0TXoKTOcfLRXr
156,Levitating,"Dua Lipa",7953,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
157,Dynamite,BTS,7919,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
158,"Sunnet El Hayah (orange Ramadan 2020)","Hussain Aljassmi",7915,https://open.spotify.com/track/4Yhx7H7UOXbwsyXwm8ASm7
159,Kekh,Shahyn,7836,https://open.spotify.com/track/4DR2qwQubTm9GpRodqYvis
160,"Hob Ghalat","Mahmoud El Esseily",7831,https://open.spotify.com/track/3ET2kl0MzSO89bFMcno7QD
161,"bad guy","Billie Eilish",7756,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
162,"Ebn Elsyouf",Afroto,7747,https://open.spotify.com/track/3VrBggI4xQGP4PLItZwam5
163,"Don't Start Now","Dua Lipa",7699,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
164,Ouzoreny,"Khaled Essam El Deen",7648,https://open.spotify.com/track/7MklY2GT9V5Lnd8ieXfFQ4
165,"Sweater Weather","The Neighbourhood",7619,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
166,"Everybody Dies In Their Nightmares",XXXTENTACION,7615,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
167,"Dance Monkey","Tones And I",7574,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
168,"Scoo Scoo","Abo El Anwar",7522,https://open.spotify.com/track/2c6A8Fh4z2hPumkD8RdkLH
169,Pluto,DizzyTooSkinny,7522,https://open.spotify.com/track/0bw4WBwvn6bXPDAMXLpX9w
170,Snowman,Sia,7501,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
171,"Ya Abyad Ya Eswed",Cairokee,7481,https://open.spotify.com/track/7MJGLlPFKG1g2p4Sa5gZog
172,Body,"Russ Millions",7433,https://open.spotify.com/track/3CVb6hkMrlF7eHhXi5B3PZ
173,"Wants and Needs (feat. Lil Baby)",Drake,7419,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
