,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
154,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",24kGoldn,8506,https://open.spotify.com/track/6FuGJB290AQMAHTfjOYVaK
155,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",8461,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
156,BOP,DaBaby,8423,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
157,"OUT WEST (feat. Young Thug)",JACKBOYS,8414,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
158,"Hadal Ahbek","Issam Alnajjar",8414,https://open.spotify.com/track/0UdZzUSOLhqIFCU7wHWkgp
159,"It's You","Ali Gatie",8409,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
160,"motive (with Doja Cat)","Ariana Grande",8366,https://open.spotify.com/track/5GkQIP5mWPi4KZLLXeuFTT
161,"Best Part (feat. Daniel Caesar)",H.E.R.,8295,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
162,"Mood Swings (feat. Lil Tjay)","Pop Smoke",8277,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
163,"Jocelyn Flores",XXXTENTACION,8168,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
164,ROXANNE,"Arizona Zervas",8155,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
165,"Love Story (Taylor’s Version)","Taylor Swift",8135,https://open.spotify.com/track/6YvqWjhGD8mB5QXcbcUKtx
166,"Scars To Your Beautiful","Alessia Cara",8117,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK
167,"Rain On Me (with Ariana Grande)","Lady Gaga",8084,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
168,"Headshot (feat. Polo G & Fivio Foreign)","Lil Tjay",8079,https://open.spotify.com/track/4eNOLmx8r2IJAVKvBBL1jv
169,Passionfruit,Drake,8078,https://open.spotify.com/track/5mCPDVBb16L4XQwDdbRUpz
